,before_word,before_count,after_word,after_count
0,연금,113.0,후보,326.0
1,대표,93.0,대선,280.0
2,대통령,76.0,국민,180.0
3,민주당,66.0,경선,180.0
4,국민,58.0,대통령,167.0
5,의원,52.0,조사,101.0
6,결정,40.0,여론,98.0
7,개혁,39.0,대표,89.0
8,헌재,39.0,민주당,86.0
9,국가,38.0,개헌,82.0
10,탄핵,37.0,의원,81.0
11,권성동,37.0,통합,79.0
12,대한민국,34.0,정치,75.0
13,이날,34.0,탄핵,74.0
14,원내대표,31.0,투표,72.0
15,심판,28.0,대행,70.0
16,국회,26.0,당원,67.0
17,통합,25.0,이재명,62.0
18,신뢰,25.0,이날,59.0
19,정부,25.0,나라,59.0
20,더불어민주당,25.0,대한민국,59.0
21,한동훈,24.0,출마,57.0
22,선고,24.0,관계자,51.0
23,개헌,23.0,일반,48.0
24,불안,23.0,한동훈,47.0
25,나라,23.0,생각,44.0
26,이재명,22.0,지지층,44.0
27,선거,22.0,사람,43.0
28,승복,20.0,윤석열,41.0
29,지도부,19.0,선거,41.0
30,주장,19.0,지지,41.0
31,대행,18.0,계엄,40.0
32,판결,18.0,승리,39.0
33,헌법,18.0,연금,38.0
34,여야,17.0,국가,37.0
35,국정,17.0,사과,35.0
36,후보,17.0,결과,35.0
37,원내,17.0,지도부,34.0
38,여론,17.0,시장,33.0
39,생각,17.0,선출,33.0
40,기각,17.0,50%,32.0
41,윤석열,16.0,책임,30.0
42,상황,16.0,무당층,29.0
43,반대,16.0,진심,28.0
44,수용,16.0,참여,28.0
45,납득,16.0,정당,28.0
46,검찰,16.0,국회,28.0
47,사과,16.0,정부,28.0
48,일반,16.0,마음,28.0
49,입장,15.0,헌법,28.0
50,의장,15.0,선언,27.0
51,기본,15.0,위기,27.0
52,참여,15.0,주자,26.0
53,권영세,15.0,결국,26.0
54,파면,14.0,결정,25.0
55,시장,14.0,개혁,25.0
56,헌법재판소,14.0,여론조사,25.0
57,안전,14.0,장관,24.0
58,계엄,14.0,김문수,24.0
59,비상대책위원장,14.0,주장,24.0
60,야당,14.0,신뢰,24.0
61,생명,14.0,추진,23.0
62,저항,13.0,보수,23.0
63,조사,13.0,중요,23.0
64,소속,13.0,자유,23.0
65,논의,13.0,경제,22.0
66,책임,13.0,동시,21.0
67,정치,13.0,후보들,21.0
68,관계자,13.0,관심,21.0
69,한국,12.0,입장,21.0
70,선관위,12.0,심판,21.0
71,결과,12.0,시작,21.0
72,판단,12.0,원내대표,21.0
73,개정안,12.0,확정,21.0
74,위원장,12.0,권성동,20.0
75,선택,12.0,시대,20.0
76,혼란,12.0,혼란,20.0
77,정당,11.0,지지율,20.0
78,환영,11.0,미래,20.0
79,대선,11.0,위원장,20.0
80,의원들,11.0,권영세,20.0
81,통과,11.0,소득,20.0
82,신임,10.0,행복,19.0
83,모수,10.0,페이스북,19.0
84,마음,10.0,더불어민주당,19.0
85,요구,10.0,진영,19.0
86,상식,10.0,말씀,18.0
87,보장,10.0,논의,18.0
88,걱정,10.0,선택,18.0
89,선출,10.0,방식,18.0
90,산불,10.0,단일화,17.0
91,세금,10.0,토론,17.0
92,유지,10.0,국정,17.0
93,지지,10.0,제안,17.0
94,호소,10.0,토론회,17.0
95,개혁안,10.0,판결,17.0
96,목소리,10.0,존경,17.0
97,경선,10.0,대상,17.0
98,총리,10.0,기회,16.0
99,구성,10.0,안전,16.0
100,합의,10.0,비상대책위원장,16.0
101,내란,10.0,홍준표,16.0
102,미래,9.0,가능성,16.0
103,변호인단,9.0,사회,16.0
104,피해,9.0,총선,16.0
105,투표,9.0,민주주의,16.0
106,기금,9.0,파면,16.0
107,재판,9.0,상황,16.0
108,기업,9.0,국힘,15.0
109,노력,9.0,반대,15.0
110,보험료,9.0,비판,15.0
111,갈등,9.0,권력,15.0
112,다수,9.0,조기,15.0
113,직무,9.0,분열,15.0
114,지연,9.0,입당,15.0
115,채용,8.0,인사,15.0
