,chosun_word_before,chosun_word_after,kyunghyang_word_before,kyunghyang_word_after
0,연금,후보,연금,후보
1,대표,대선,대표,대선
2,대통령,국민,대통령,국민
3,민주당,경선,국민,경선
4,국민,대통령,민주당,대통령
5,의원,조사,탄핵,여론
6,결정,여론,헌재,대한민국
7,개혁,대표,주장,대표
8,헌재,민주당,윤석열,조사
9,국가,개헌,의원,통합
10,탄핵,의원,국회,윤석열
11,권성동,통합,이날,정치
12,대한민국,정치,개혁,투표
13,이날,탄핵,더불어민주당,민주당
14,원내대표,투표,원내대표,국가
15,심판,대행,한동훈,국회
16,국회,당원,결정,의원
17,통합,이재명,권성동,이날
18,신뢰,이날,이재명,일반
19,정부,나라,정부,탄핵
20,더불어민주당,대한민국,개정안,권한대행
21,한동훈,출마,나라,출마
22,선고,관계자,생각,결정
23,개헌,일반,헌법,당원
24,불안,한동훈,불안,이재명
25,나라,생각,국가,한동훈
26,이재명,지지층,대한민국,개헌
27,선거,사람,정치,연금
28,승복,윤석열,여야,헌법
29,지도부,선거,신뢰,나라
30,주장,지지,후보,지지
31,대행,계엄,심판,비판
32,판결,승리,비판,50%
33,헌법,연금,반대,결국
34,여야,국가,판결,계엄
35,국정,사과,지도부,권력
36,후보,결과,선고,헌재
37,원내,지도부,파면,권리
38,여론,시장,통합,파면
39,생각,선출,승복,주장
40,기각,50%,비상대책위원장,사과
41,윤석열,책임,대선,생각
42,상황,무당층,검찰,승리
43,반대,진심,요구,심판
44,수용,참여,분열,선출
45,납득,정당,수석대변인,상황
46,검찰,국회,권영세,사람
47,사과,정부,상황,책임
48,일반,마음,위원장,김문수
49,입장,헌법,행위,더불어민주당
50,의장,선언,계엄,선거
51,기본,위기,책임,선택
52,참여,주자,모수,수석대변인
53,권영세,결국,납득,단일화
54,파면,결정,헌법재판소,사퇴
55,시장,개혁,관계자,홍준표
56,헌법재판소,여론조사,제안,민주주의
57,안전,장관,정당,반성
58,계엄,김문수,사람,내란
59,비상대책위원장,주장,목소리,한덕수
60,야당,신뢰,여당,원내대표
61,생명,추진,소속,비상대책위원장
62,저항,보수,내란,중요
63,조사,중요,기간,관심
64,소속,자유,안전,판결
65,논의,경제,선거,관계자
66,책임,동시,갈등,입장
67,정치,후보들,원내,정부
68,관계자,관심,판단,정권
69,한국,입장,분노,권성동
70,선관위,심판,합의,정당
71,결과,시작,소득,대행
72,판단,원내대표,극우,동시
73,개정안,확정,석방,주권자
74,위원장,권성동,논평,권영세
75,선택,시대,신동욱,신뢰
76,혼란,혼란,혼란,선언
77,정당,지지율,선택,마음
78,환영,미래,생명,요구
79,대선,위원장,역사,논평
80,의원들,권영세,43%,지도부
81,통과,소득,메시지,대상
82,신임,행복,보험료,후보들
83,모수,페이스북,직무,결과
84,마음,더불어민주당,논의,지지층
85,요구,진영,피해,경제
86,상식,말씀,입장,참여
87,보장,논의,발언,기자회견
88,걱정,선택,야당,단일
89,선출,방식,권력,보수
90,산불,단일화,권한,
91,세금,토론,기각,갈등
92,유지,국정,의장,시장
93,지지,제안,촉구,판단
94,호소,토론회,주권자,주자
95,개혁안,판결,국정,100%
96,목소리,존경,배신,평가
97,경선,대상,걱정,노력
98,총리,기회,사과,신동욱
99,구성,안전,시장,개혁
100,합의,비상대책위원장,법원,정도
101,내란,홍준표,특위,위기
102,미래,가능성,정치권,극복
103,변호인단,사회,즉시,미래
104,피해,총선,확대,진행
105,투표,민주주의,복귀,자신
106,기금,파면,신임,안전
107,재판,상황,일상,의사
108,기업,국힘,기금,기본
109,노력,반대,정책위,개정
110,보험료,비판,정치인,국민의힘
111,갈등,권력,70%,선거인단
112,다수,조기,미국,여론조사
113,직무,분열,가입,비상계엄
114,지연,입당,통과,지적
115,채용,인사,추진,강조
116,주권자,세력,50%,신임
117,역사,요구,태도,언급
118,사람,한덕수,경선,진심
119,의사,목소리,산불,역사
120,비판,달러,기본,상식
121,시작,정권,의견,공약
122,수석대변인,완전,보수,기회
123,촉구,갈등,선관위,분열
124,고발,동의,지지,지지율
125,명령,사랑,수용,권한
126,석방,약속,자동조정장치,주권
127,요청,감사,찬성,최종
128,발언,사람들,공정,저항
129,상속세,자신,12,의무
130,방식,얘기,회의,생명
131,제안,전신,구성,사회
132,특위,안철수,제도,의견
133,페이스북,권한,수준,지지자
134,사건,해석,선동,세력
135,대상,회복,이익,메시지
136,미국,질문,정도,재판
137,여당,연설,권한대행,민생
138,가능,주인,사회,제안
139,30%,노력,저항,추진
140,활동,헌재,세력,자체
141,세대,대법원,회복,구도
142,회복,극복,감사,질문
143,정권,생명,공개,반대
144,분열,행위,호소,통화
145,주진우,의지,압박,투표법
146,감사,선거인단,몸조심,입당
147,추진,전략,대회,행복
148,순간,내란,행사,국정
149,수사,,거부,배반
150,위기,정책,안정,토론회
151,제도,합의,무시,가능
152,참석,거짓말,대상,시대
153,보호,의원들,강조,안철수
154,집중,기본,민주주의,정의
155,민생,원장,사진,페이스북
156,반발,단일,결국,합의
157,논란,최종,의원들,가능성
158,복귀,투표법,만큼,말씀
159,법치주의,반성,한국,유지
160,재정,사퇴,상대,주인
161,정책,주권,신속,토론
162,관심,여의도,한덕수,침해
163,배신,당장,결과,중심
164,지적,사태,인용,12
165,헌법상,전망,대변인,모습
166,협력,설명,조기,확정
167,18년,진행,기본권,불안
168,43%,방향,위원,변화
169,신동욱,영향,사태,현장
170,불신,예비,고통,이준석
171,마비,방안,소득대체율,선고
172,지지도,지원,보장,한국
173,인권,모습,대행,의료비
174,충돌,판단,투자,비전
175,의미,보장,이름,의장
176,가입,정치권,18년,찬성
177,부담,안팎,중요,사태
