,before_word,before_count,after_word,after_count
0,연금,201.0,후보,411.0
1,대표,134.0,대선,338.0
2,대통령,124.0,국민,194.0
3,국민,118.0,경선,184.0
4,민주당,84.0,대통령,167.0
5,탄핵,75.0,여론,91.0
6,헌재,72.0,대한민국,91.0
7,주장,61.0,대표,90.0
8,윤석열,59.0,조사,85.0
9,의원,54.0,통합,83.0
10,국회,53.0,윤석열,82.0
11,이날,53.0,정치,75.0
12,개혁,51.0,투표,73.0
13,더불어민주당,49.0,민주당,73.0
14,원내대표,46.0,국가,66.0
15,한동훈,44.0,국회,65.0
16,결정,44.0,의원,63.0
17,권성동,42.0,이날,59.0
18,이재명,42.0,일반,58.0
19,정부,41.0,탄핵,57.0
20,개정안,40.0,권한대행,55.0
21,나라,39.0,출마,54.0
22,생각,37.0,결정,51.0
23,헌법,36.0,당원,51.0
24,불안,35.0,이재명,50.0
25,국가,35.0,한동훈,50.0
26,대한민국,34.0,개헌,50.0
27,정치,32.0,연금,49.0
28,여야,30.0,헌법,47.0
29,신뢰,29.0,나라,45.0
30,후보,28.0,지지,44.0
31,심판,27.0,비판,43.0
32,비판,27.0,50%,43.0
33,반대,27.0,결국,42.0
34,판결,27.0,계엄,42.0
35,지도부,26.0,권력,42.0
36,선고,25.0,헌재,41.0
37,파면,23.0,권리,41.0
38,통합,23.0,파면,40.0
39,승복,23.0,주장,39.0
40,비상대책위원장,23.0,사과,39.0
41,대선,22.0,생각,38.0
42,검찰,22.0,승리,37.0
43,요구,22.0,심판,36.0
44,분열,21.0,선출,36.0
45,수석대변인,21.0,상황,33.0
46,권영세,21.0,사람,33.0
47,상황,20.0,책임,32.0
48,위원장,20.0,김문수,32.0
49,행위,20.0,더불어민주당,30.0
50,계엄,20.0,선거,30.0
51,책임,19.0,선택,30.0
52,모수,19.0,수석대변인,29.0
53,납득,19.0,단일화,29.0
54,헌법재판소,19.0,사퇴,29.0
55,관계자,19.0,홍준표,29.0
56,제안,19.0,민주주의,28.0
57,정당,19.0,반성,28.0
58,사람,19.0,내란,28.0
59,목소리,18.0,한덕수,28.0
60,여당,18.0,원내대표,28.0
61,소속,18.0,비상대책위원장,27.0
62,내란,18.0,중요,27.0
63,기간,18.0,관심,27.0
64,안전,17.0,판결,27.0
65,선거,17.0,관계자,27.0
66,갈등,17.0,입장,27.0
67,원내,17.0,정부,26.0
68,판단,17.0,정권,26.0
69,분노,17.0,권성동,25.0
70,합의,16.0,정당,25.0
71,소득,16.0,대행,25.0
72,극우,16.0,동시,25.0
73,석방,16.0,주권자,24.0
74,논평,16.0,권영세,24.0
75,신동욱,16.0,신뢰,24.0
76,혼란,16.0,선언,24.0
77,선택,16.0,마음,22.0
78,생명,16.0,요구,22.0
79,역사,16.0,논평,22.0
80,43%,16.0,지도부,22.0
81,메시지,16.0,대상,22.0
82,보험료,15.0,후보들,22.0
83,직무,15.0,결과,21.0
84,논의,15.0,지지층,21.0
85,피해,15.0,경제,21.0
86,입장,15.0,참여,21.0
87,발언,14.0,기자회견,21.0
88,야당,14.0,단일,21.0
89,권력,14.0,보수,21.0
90,권한,14.0,,20.0
91,기각,14.0,갈등,20.0
92,의장,14.0,시장,20.0
93,촉구,14.0,판단,20.0
94,주권자,14.0,주자,20.0
95,국정,14.0,100%,20.0
96,배신,13.0,평가,20.0
97,걱정,13.0,노력,19.0
98,사과,13.0,신동욱,19.0
99,시장,13.0,개혁,19.0
100,법원,13.0,정도,19.0
101,특위,13.0,위기,19.0
102,정치권,13.0,극복,19.0
103,즉시,13.0,미래,19.0
104,확대,13.0,진행,18.0
105,복귀,13.0,자신,18.0
106,신임,13.0,안전,18.0
107,일상,13.0,의사,18.0
108,기금,13.0,기본,18.0
109,정책위,12.0,개정,17.0
110,정치인,12.0,국민의힘,17.0
111,70%,12.0,선거인단,17.0
112,미국,12.0,여론조사,17.0
113,가입,12.0,비상계엄,17.0
114,통과,12.0,지적,17.0
115,추진,12.0,강조,17.0
116,50%,12.0,신임,16.0
117,태도,12.0,언급,16.0
118,경선,12.0,진심,16.0
119,산불,12.0,역사,16.0
120,기본,12.0,상식,16.0
121,의견,12.0,공약,16.0
122,보수,12.0,기회,16.0
123,선관위,12.0,분열,16.0
124,지지,12.0,지지율,16.0
125,수용,12.0,권한,15.0
126,자동조정장치,11.0,주권,15.0
127,찬성,11.0,최종,15.0
128,공정,11.0,저항,15.0
129,12,11.0,의무,15.0
130,회의,11.0,생명,15.0
131,구성,11.0,사회,15.0
132,제도,11.0,의견,15.0
133,수준,11.0,지지자,15.0
134,선동,11.0,세력,15.0
135,이익,11.0,메시지,14.0
136,정도,11.0,재판,14.0
137,권한대행,11.0,민생,14.0
138,사회,11.0,제안,14.0
139,저항,11.0,추진,14.0
140,세력,11.0,자체,14.0
141,회복,10.0,구도,14.0
142,감사,10.0,질문,14.0
143,공개,10.0,반대,14.0
144,호소,10.0,통화,14.0
145,압박,10.0,투표법,14.0
146,몸조심,10.0,입당,13.0
147,대회,10.0,행복,13.0
148,행사,10.0,국정,13.0
149,거부,10.0,배반,13.0
150,안정,10.0,토론회,13.0
151,무시,10.0,가능,13.0
152,대상,10.0,시대,13.0
153,강조,10.0,안철수,13.0
154,민주주의,10.0,정의,13.0
155,사진,10.0,페이스북,13.0
156,결국,10.0,합의,13.0
157,의원들,10.0,가능성,13.0
158,만큼,10.0,말씀,13.0
159,한국,10.0,유지,13.0
160,상대,10.0,주인,13.0
161,신속,10.0,토론,13.0
162,한덕수,9.0,침해,13.0
163,결과,9.0,중심,13.0
164,인용,9.0,12,13.0
165,대변인,9.0,모습,13.0
166,조기,9.0,확정,13.0
167,기본권,9.0,불안,12.0
168,위원,9.0,변화,12.0
169,사태,9.0,현장,12.0
170,고통,9.0,이준석,12.0
171,소득대체율,9.0,선고,12.0
172,보장,9.0,한국,12.0
173,대행,9.0,의료비,12.0
174,투자,9.0,비전,12.0
175,이름,9.0,의장,12.0
176,18년,9.0,찬성,12.0
177,중요,9.0,사태,11.0
178,가까이,9.0,정치인,11.0
179,불신,8.0,대변인,11.0
180,역할,8.0,촉구,11.0
181,명문화,8.0,행위,11.0
182,부여,8.0,목소리,11.0
183,수사,8.0,설득,11.0
184,고발,8.0,행태,11.0
185,진행,8.0,교수,11.0
186,모습,8.0,혼란,11.0
187,의무,8.0,혁명,11.0
188,시작,8.0,회복,11.0
189,폐지,8.0,장관,11.0
190,경찰,8.0,당내,11.0
191,정책,8.0,국무총리,11.0
192,사법,8.0,과거,11.0
193,위자료,8.0,개헌안,11.0
194,비상계엄,8.0,걱정,11.0
195,쟁점,8.0,기본권,11.0
196,펀드,8.0,전신,11.0
197,대응,8.0,야당,11.0
198,계몽,8.0,의미,10.0
199,참여,8.0,소속,10.0
200,반성,8.0,도구,10.0
201,자리,8.0,소득,10.0
202,검토,8.0,극우,10.0
203,조사,7.0,역할,10.0
204,약속,7.0,준비,10.0
205,본회의,7.0,중대,10.0
206,존재,7.0,위원장,10.0
207,운운,7.0,집중,10.0
208,불법,7.0,광화문,10.0
209,미래,7.0,사실,10.0
210,대변,7.0,발언,10.0
211,완전,7.0,포함,10.0
212,개헌,7.0,원내,10.0
213,보호,7.0,상대,10.0
214,석고대죄,7.0,사죄,10.0
215,위기,7.0,반발,10.0
216,처장,7.0,제기,10.0
217,통화,7.0,약속,10.0
218,상속세,7.0,도리,10.0
219,초선,7.0,SNS,9.0
220,각하,7.0,유력,9.0
221,안심,7.0,대법원,9.0
222,사죄,7.0,정치권,9.0
223,유기,7.0,당선,9.0
224,민주,7.0,새누리당,9.0
225,RN,7.0,그동안,9.0
226,기업,7.0,심사,9.0
227,지적,7.0,권리당원,9.0
228,농성,7.0,시작,9.0
229,용서,7.0,희망,9.0
