,chosun_word_before,chosun_word_after,kyunghyang_word_before,kyunghyang_word_after
0,대통령,후보,대통령,후보
1,탄핵,대통령,탄핵,대통령
2,대표,국민,대표,대선
3,헌재,대선,헌재,국민
4,민주당,대행,의원,경선
5,국민,경선,국민,권한대행
6,의원,탄핵,민주당,출마
7,대행,의원,윤석열,의원
8,결정,민주당,선고,윤석열
9,국회,대표,헌법,탄핵
10,선고,개헌,국회,민주당
11,연금,이재명,이날,대표
12,헌법,출마,결정,헌법
13,심판,정치,파면,국회
14,윤석열,이날,심판,이날
15,검찰,시장,연금,이재명
16,이날,국회,권한,정치
17,이재명,헌법,검찰,대행
18,기각,윤석열,대선,헌재
19,구속,정부,이재명,파면
20,승복,대한민국,대행,권한
21,정부,선거,임명,정부
22,개혁,헌재,정부,개헌
23,정치,장관,재판관,한덕수
24,재판관,권한,집회,결정
25,임명,한덕수,주장,시장
26,파면,김문수,촉구,계엄
27,개헌,생각,후보자,재판관
28,권한,선언,권한대행,선거
29,시장,결정,국가,장관
30,석방,계엄,원내,대한민국
31,법원,조사,기각,선언
32,집회,나라,구속,생각
33,사건,선고,시장,주장
34,국가,한동훈,석방,내란
35,한국,경제,승복,지명
36,대선,보수,정치,국가
37,재판,투표,여야,경제
38,미국,미국,개혁,지사
39,수사,사람,계엄,사회
40,총리,국민의힘,생각,조사
41,원내,국가,미국,보수
42,대한민국,결과,헌법재판소,비판
43,판결,위원장,대한민국,총리
44,상황,재판,후보,김문수
45,선관위,판결,법원,투표
46,여야,사건,상황,사람
47,북한,홍준표,합의,판결
48,생각,입장,비판,단일화
49,취소,승리,서울,한동훈
50,선거,파면,위원장,정책
51,주장,여론,판결,재판
52,헌법재판소,지사,더불어민주당,더불어민주당
53,한덕수,더불어민주당,선거,미국
54,장관,상황,판단,사건
55,판단,주장,각하,검찰
56,직무,지지,내란,선고
57,후보자,반대,발언,위원장
58,발언,재판관,반대,선출
59,입장,트럼프,장관,사퇴
60,소추,대법원,한국,통합
61,트럼프,당원,야당,지지
62,서울,안철수,원내대표,상황
63,결과,의장,취소,민주주의
64,더불어민주당,서울,논의,국민의힘
65,경제,선출,한덕수,세력
66,국정,정책,사건,공약
67,감사,내란,요구,책임
68,인용,통합,사회,여론
69,야당,총리,조기,국무총리
70,내란,50%,입장,진행
71,책임,세력,결과,결과
72,촉구,김동연,광화문,반대
73,의견,정권,수사,심판
74,채용,한국,부총리,대법원
75,반대,권력,최상목,나라
76,논의,가능성,인용,홍준표
77,위원장,책임,경제,입장
78,복귀,ai,복귀,국정
79,산불,정당,국민의힘,승리
80,절차,추진,산불,주자
81,공수처,논의,직무,비상계엄
82,각하,국힘,지정,서울
83,나라,개혁,의장,의장
84,요구,관세,비상계엄,임명
85,위반,시작,소추,강조
86,진행,참여,지도부,권력
87,국민의힘,페이스북,시민,정당
88,페이스북,김경수,회의,논의
89,외교,확정,추경,원내
90,조사,진행,사람,후보자
91,후보,단일,위헌,50%
92,사람,미래,나라,사과
93,원내대표,심판,세력,자신
94,처리,토론,여당,질문
95,광화문,공약,트럼프,판단
96,사회,회의,책임,단일
97,합의,제안,선관위,추진
98,계엄,인사,총장,발언
99,혼란,위기,절차,가능성
